Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Austin Nola,32,C,1.9,110,397,347,40,87,15,0,4,40,2,1,34,60,0.251,0.321,0.329,0.649,90,0.302,95,114,5,6,1,9,1,2/DH45,,nolaau01
2,Eric Hosmer*,32,1B,1,90,369,335,32,91,16,0,8,40,0,0,33,55,0.272,0.336,0.391,0.727,111,0.328,114,131,10,0,0,1,5,3/D,,hosmeer01
3,Jake Cronenworth*,28,2B,3.9,158,684,587,88,140,30,4,17,88,3,0,70,131,0.239,0.332,0.39,0.722,109,0.326,112,229,2,16,0,8,3,*43/6HD,AS,croneja01
4,Ha-Seong Kim,26,SS,4.9,150,582,517,58,130,29,3,11,59,12,2,51,100,0.251,0.325,0.383,0.708,105,0.322,107,198,9,7,3,4,0,*65/H,,kimha01
5,Manny Machado,29,3B,6.7,150,644,578,100,172,37,1,32,102,9,1,63,133,0.298,0.366,0.531,0.898,157,0.392,159,307,12,1,0,2,10,*5D/H,ASMVP-2,machama01
6,Jurickson Profar#,29,LF,3,152,658,575,82,140,36,2,15,58,5,1,73,103,0.243,0.331,0.391,0.723,109,0.326,112,225,12,4,3,3,0,*7/DH,,profaju01
7,Trent Grisham*,25,CF,2.5,152,524,451,58,83,16,2,17,53,7,1,57,150,0.184,0.284,0.341,0.626,81,0.284,81,154,3,7,7,2,1,*8H,GG,grishtr01
8,Juan Soto*,23,RF,1.8,52,228,182,31,43,8,1,6,16,0,0,44,34,0.236,0.388,0.39,0.778,127,0.355,134,71,1,1,0,0,2,9,ASSS,sotoju01
9,Luke Voit,31,DH,0.6,82,344,298,38,67,18,0,13,48,1,1,39,110,0.225,0.317,0.416,0.733,111,0.327,114,124,5,3,0,4,1,D3/H,,voitlu01
10,Wil Myers,31,UT,1.1,77,286,261,29,68,15,0,7,41,2,1,21,86,0.261,0.315,0.398,0.713,106,0.309,100,104,7,1,0,3,1,937/8H15,,myerswi01
