Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Dylan Cease,28,SP,4.2,14,11,0.56,3.47,33,33,0,1,1,0,189.1,137,80,73,18,65,0,224,2,0,12,762,118,3.1,1.067,6.5,0.9,3.1,10.6,3.45,CYA-4MVP-22,ceasedy01
2,Michael King,29,SP,4.2,13,9,0.591,2.95,31,30,0,0,0,0,173.2,144,71,57,17,63,2,201,7,0,1,726,139,3.33,1.192,7.5,0.9,3.3,10.4,3.19,CYA-7,kingmi01
3,Matt Waldron,27,SP,0.8,7,11,0.389,4.91,27,26,0,0,0,0,146.2,145,84,80,21,40,0,133,11,1,5,625,84,4.26,1.261,8.9,1.3,2.5,8.2,3.33,,waldrma01
4,Joe Musgrove,31,SP,1.7,6,5,0.545,3.88,19,19,0,0,0,0,99.2,94,44,43,14,23,0,101,10,0,0,410,106,3.96,1.174,8.5,1.3,2.1,9.1,4.39,,musgrjo01
5,Randy Vásquez,25,SP,0.5,4,7,0.364,4.87,20,20,0,0,0,0,98,119,56,53,13,29,1,62,6,2,5,431,84,4.7,1.51,10.9,1.2,2.7,5.7,2.14,,vasqura02
6,Yu Darvish,37,SP,2,7,3,0.7,3.31,16,16,0,0,0,0,81.2,65,32,30,12,22,0,78,3,0,2,331,124,4.08,1.065,7.2,1.3,2.4,8.6,3.55,,darviyu01
7,Robert Suarez,33,CL,2.1,9,3,0.75,2.77,65,0,55,0,0,36,65,52,21,20,7,16,1,59,0,0,1,258,149,3.49,1.046,7.2,1,2.2,8.2,3.69,AS,suarero01
8,Adrián Morejón*,25,RP,1.3,3,2,0.6,2.83,60,0,12,0,0,2,63.2,63,24,20,4,21,2,71,1,1,7,272,146,2.79,1.319,8.9,0.6,3,10,3.38,,morejad01
9,Yuki Matsui*,28,RP,0.8,4,2,0.667,3.73,64,0,14,0,0,0,62.2,46,27,26,8,27,4,69,0,0,8,257,110,3.92,1.165,6.6,1.1,3.9,9.9,2.56,,matsuyu01
10,Jeremiah Estrada,25,RP,1.2,6,3,0.667,2.95,62,0,14,0,0,1,61,42,22,20,4,23,1,94,0,0,5,252,140,2.07,1.066,6.2,0.6,3.4,13.9,4.09,,estraje01
11,Wandy Peralta*,32,RP,0.4,3,2,0.6,3.99,46,0,10,0,0,0,38.1,33,19,17,6,13,0,22,5,0,2,162,104,5.46,1.2,7.7,1.4,3.1,5.2,1.69,,peralwa01
12,Martín Pérez*,33,,1,3,1,0.75,3.46,10,10,0,0,0,0,52,46,20,20,9,17,0,44,2,0,0,217,119,4.82,1.212,8,1.6,2.9,7.6,2.59,,perezma02
13,Stephen Kolek,27,,-0.2,3,0,1,5.21,42,0,12,0,0,0,46.2,59,30,27,4,12,0,39,3,0,2,211,79,3.57,1.521,11.4,0.8,2.3,7.5,3.25,,kolekst01
14,Jhony Brito,26,,0.2,1,2,0.333,4.12,26,0,9,0,0,0,43.2,49,23,20,4,10,1,29,0,0,1,185,100,3.72,1.351,10.1,0.8,2.1,6,2.9,,britojh01
15,Enyel De Los Santos,28,,0.3,1,2,0.333,4.46,44,0,13,0,0,1,40.1,39,21,20,11,13,1,48,1,0,2,170,93,5.37,1.289,8.7,2.5,2.9,10.7,3.69,,delosen01
16,Adam Mazur,23,,-0.6,1,3,0.25,7.49,8,8,0,0,0,0,33.2,40,28,28,6,21,0,22,2,0,0,158,55,6.23,1.812,10.7,1.6,5.6,5.9,1.05,,mazurad01
17,Jason Adam,32,,1.4,3,0,1,1.01,27,0,1,0,0,0,26.2,14,3,3,1,7,1,31,3,1,2,102,410,2.45,0.788,4.7,0.3,2.4,10.5,4.43,,adamja01
18,Tanner Scott*,29,,0.7,3,1,0.75,2.73,28,0,6,0,0,4,26.1,26,10,8,1,9,2,31,0,0,0,112,152,2.33,1.329,8.9,0.3,3.1,10.6,3.44,AS,scottta01
19,Bryan Hoeing,27,,0.9,1,1,0.5,1.52,18,0,1,0,0,0,23.2,14,5,4,2,5,1,18,0,0,4,86,274,3.38,0.803,5.3,0.8,1.9,6.8,3.6,,hoeinbr01
20,Alek Jacob,26,,0.3,0,0,,2.45,7,0,2,0,0,0,14.2,9,4,4,1,2,0,19,2,0,0,57,171,2.28,0.75,5.5,0.6,1.2,11.7,9.5,,jacobal01
21,Tom Cosgrove*,28,,-0.9,0,1,0,11.66,18,0,3,0,0,0,14.2,23,19,19,3,6,0,15,4,0,0,76,36,5.83,1.977,14.1,1.8,3.7,9.2,2.5,,cosgrto01
22,Logan Gillaspie,27,,-0.1,0,0,,7.15,9,0,4,0,0,0,11.1,15,9,9,2,0,0,7,1,0,0,49,59,4.49,1.324,11.9,1.6,0,5.6,,,gillalo01
23,Sean Reynolds,26,,0.3,0,0,,0.82,9,0,3,0,0,0,11,10,1,1,0,5,0,21,1,0,0,49,518,0.98,1.364,8.2,0,4.1,17.2,4.2,,reynose01
24,Pedro Avila,27,,-0.2,1,0,1,9,4,0,2,0,0,0,8,5,8,8,1,6,0,9,1,0,3,35,48,5.17,1.375,5.6,1.1,6.8,10.1,1.5,,avilape01
25,Austin Davis*,31,,-0.2,0,0,,9,7,0,0,0,0,0,7,6,8,7,0,5,0,6,2,0,0,33,48,4.45,1.571,7.7,0,6.4,7.7,1.2,,davisau01
26,Carl Edwards Jr.,32,,0,0,0,,,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,3,,,,,,,,0,,edwarca01
,Team Totals,,,21.9,93,69,0.574,3.86,162,162,161,1,1,44,1439.1,1296,669,617,169,462,17,1453,67,5,63,6029,107,3.77,1.221,8.1,1.1,2.9,9.1,3.15,,-9999
