Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Aaron Nola,29,SP,5.7,11,13,0.458,3.25,32,32,0,2,1,0,205,168,75,74,19,29,1,235,9,0,2,807,123,2.58,0.961,7.4,0.8,1.3,10.3,8.1,CYA-4,nolaaa01
2,Kyle Gibson,34,SP,0.4,10,8,0.556,5.05,31,31,0,0,0,0,167.2,176,98,94,24,48,0,144,9,0,4,718,79,4.28,1.336,9.4,1.3,2.6,7.7,3,,gibsoky01
3,Ranger Suárez*,26,SP,2.3,10,7,0.588,3.65,29,29,0,0,0,0,155.1,149,74,63,15,58,0,129,2,2,4,662,109,3.87,1.333,8.6,0.9,3.4,7.5,2.22,,suarera01
4,Zack Wheeler,32,SP,4.8,12,7,0.632,2.82,26,26,0,0,0,0,153,125,52,48,13,34,1,163,7,1,1,607,141,2.89,1.039,7.4,0.8,2,9.6,4.79,,wheelza01
5,Bailey Falter*,25,SP,1.1,6,4,0.6,3.86,20,16,3,0,0,0,84,85,39,36,16,17,0,74,6,0,2,349,103,4.65,1.214,9.1,1.7,1.8,7.9,4.35,,falteba01
6,Zach Eflin,28,SP,0.9,3,5,0.375,4.04,20,13,2,0,0,1,75.2,70,38,34,8,15,1,65,5,0,0,313,99,3.56,1.123,8.3,1,1.8,7.7,4.33,,eflinza01
7,Corey Knebel,30,CL,0.5,3,5,0.375,3.43,46,0,29,0,0,12,44.2,33,22,17,4,28,3,41,2,0,2,194,117,4.46,1.366,6.6,0.8,5.6,8.3,1.46,,knebeco01
8,Andrew Bellatti,30,RP,0.8,4,4,0.5,3.31,59,1,16,0,0,2,54.1,47,25,20,5,25,1,78,1,0,1,230,121,2.87,1.325,7.8,0.8,4.1,12.9,3.12,,bellaan01
9,Seranthony Domínguez,27,RP,1.4,6,5,0.545,3,54,0,16,0,0,9,51,36,18,17,4,22,1,61,1,0,3,207,133,3.09,1.137,6.4,0.7,3.9,10.8,2.77,,dominse01
10,José Alvarado*,27,RP,0.9,4,2,0.667,3.18,59,0,8,0,0,2,51,38,21,18,2,24,4,81,1,0,5,214,126,1.92,1.216,6.7,0.4,4.2,14.3,3.38,,alvarjo03
