Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Gerrit Cole,31,SP,2.6,13,8,0.619,3.5,33,33,0,0,0,0,200.2,154,81,78,33,50,0,257,2,2,2,793,112,3.47,1.017,6.9,1.5,2.2,11.5,5.14,ASCYA-9,colege01
2,Jameson Taillon,30,SP,1.4,14,5,0.737,3.91,32,32,0,0,0,0,177.1,168,78,77,26,32,0,151,5,0,3,728,101,3.94,1.128,8.5,1.3,1.6,7.7,4.72,,taillja01
3,Nestor Cortes*,27,SP,4.4,12,4,0.75,2.44,28,28,0,1,1,0,158.1,108,44,43,16,38,0,163,2,0,1,615,161,3.12,0.922,6.1,0.9,2.2,9.3,4.29,ASCYA-8,cortene01
4,Jordan Montgomery*,29,SP,1,3,3,0.5,3.69,21,21,0,0,0,0,114.2,103,48,47,15,23,0,97,7,0,3,469,107,3.91,1.099,8.1,1.2,1.8,7.6,4.22,,montgjo01
5,Luis Severino,28,SP,1.7,7,3,0.7,3.18,19,19,0,0,0,0,102,72,37,36,14,30,0,112,4,0,1,405,124,3.7,1,6.4,1.2,2.6,9.9,3.73,,severlu01
6,Domingo Germán,29,SP,0.7,2,5,0.286,3.61,15,14,0,0,0,0,72.1,65,31,29,11,19,0,58,4,1,0,298,109,4.44,1.161,8.1,1.4,2.4,7.2,3.05,,germado01
7,Clay Holmes,29,CL,1.4,7,4,0.636,2.54,62,0,32,0,0,20,63.2,45,21,18,2,20,2,65,9,0,1,260,155,2.84,1.021,6.4,0.3,2.8,9.2,3.25,AS,holmecl01
8,Lucas Luetge*,35,RP,0.8,4,4,0.5,2.67,50,0,18,0,0,2,57.1,63,19,17,4,17,1,60,4,0,1,251,148,3.02,1.395,9.9,0.6,2.7,9.4,3.53,,luetglu01
9,Wandy Peralta*,30,RP,1.1,3,4,0.429,2.72,56,0,18,0,0,4,56.1,42,19,17,2,17,1,47,1,1,2,223,145,2.86,1.047,6.7,0.3,2.7,7.5,2.76,,peralwa01
10,Jonathan Loáisiga,27,RP,-0.5,2,3,0.4,4.13,50,0,9,0,0,2,48,43,25,22,3,19,1,37,0,0,0,203,96,3.57,1.292,8.1,0.6,3.6,6.9,1.95,,loaisjo01
